Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing,Council Districts,Councils,Communities,Zip Codes,Municipalities
A528500,OWNER SUR,2025-02-23T00:00:00,*SHAKESPEARE,BIRD,1 YEAR 4 MONTHS,MED,BROWN / BLACK,FINCH,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528500&location=MONT,NA,NA,NA,NA,NA,NA
A514903,OWNER SUR,2025-01-21T00:00:00,STANLEY,DOG,1 YEAR 7 MONTHS,MED,WHITE / BROWN,AMERICAN STAFF,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514903&location=MONT,NA,NA,NA,NA,NA,NA
A523689,FOSTER,2025-02-18T00:00:00,CASH,DOG,9 YEARS,MED,BRINDLE / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523689&location=MONT,NA,NA,NA,NA,NA,NA
A528258,OWNER SUR,2025-02-14T00:00:00,*INCHWORM,DOG,9 MONTHS,LARGE,WHITE / TAN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528258&location=MONT,NA,NA,NA,NA,NA,NA
A515162,FOSTER,2025-02-08T00:00:00,RACKS,DOG,1 YEAR 11 MONTHS,MED,BROWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515162&location=MONT,NA,NA,NA,NA,NA,NA
A527864,OWNER SUR,2025-01-30T00:00:00,PIPPEN,CAT,16 YEARS,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527864&location=MONT,NA,NA,NA,NA,NA,NA
A521086,OWNER SUR,2025-02-03T00:00:00,*WINSTON,DOG,1 YEAR 2 MONTHS,MED,GRAY / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A521086&location=MONT,NA,NA,NA,NA,NA,NA
A523441,RETURN,2025-01-02T00:00:00,CHANEL-DIAMOND,DOG,3 YEARS,LARGE,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523441&location=MONT,NA,NA,NA,NA,NA,NA
A528098,BOARDING,2025-02-08T00:00:00,MERLIN,CAT,4 YEARS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528098&location=MONT,NA,NA,NA,NA,NA,NA
A527313,TRANSFER,2025-01-31T00:00:00,*SNUGGLEWUMPS,DOG,8 MONTHS,PUPPY,BROWN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527313&location=MONT,NA,NA,NA,NA,NA,NA
